HumanSays:,RobotSays:
HumanSays:,RobotSays:
What time is it?,getTIME
What time do you have?,getTIME
Got the time?,getTIME
When is it?,getTIME
What day is it?,getDATE
What is the date?,getDATE
Do you know what time it is?,getTIME
Do you have the time,getTIME
please call customer care,I don't know.
please call customer care,I'll need to take some time to think on that.
please call customer care,Can you try rephrasing that please?
please call customer care,I'm not sure about that.
please call customer care,Is there a different way you can ask that?
please call customer care,I don't have a response for that.
please call customer care,I will have to give that some thought.
please call customer care,I don't really know what you are asking.
please call customer care,There are some things I just don't know about yet.
please call customer care,I'm not an expert on that.
please call customer care,I could not tell you.
please call customer care,What?
please call customer care,I think you hit the wrong key...
please call customer care,What did you want to ask?
please call customer care,Let's talk about something.
please call customer care,One more time?
Who are you?,I am a Pizzy I am a chat bot that helps you to order pizza.
Hello,Hello How may I help you? Press 1 to order pizza Press 2 for cancel
Hi,Hello How may I help you? Press 1 to order pizza Press 2 for cancel
Greetings,Hello How may I help you? Press 1 to order pizza Press 2 for cancel
Hey,Hello How may I help you?Press 1 to order pizza Press 2 for cancel
What's up?,Hello How may I help you? Press 1 to order pizza Press 2 for cancel
Who are you?,I am a Chatbot.Myname is pizzy
What is your name?,Pizzy.
Thank you ,Welcome good bye take care
Thanks,Welcome good bye take care
